COMPLEX_NAME,FACILITY_TYPE,TIER,ADDRESS,ORG,TYP_OF_ORG,STEWARD,OPER,LABEL,WEBSITE,PHONE,NOTES,GYM,GYMNAST_FAC,FITNSS_WGHT,FIT_STUDIO,MULTI_PURP_ROOMS,MEET_ROOMS,INDR_POOL,OUTDR_POOL,FW_25M,FW_50M,FW_18M,LANES_POOL,TEACH_POOL,WAVE_POOL,OTHER_POOL,INDR_WAD_POOL,DIVING_TANK,SPRINGBOARD,PLATFORM,DIVE_SLIDE,PLAY_SLIDE,ROPE_SWING,STEAM,HOT_TUB,SAUNA,CLIMB_WALL,TRACK_INDR,OUTDR_WAD_POOL,SPRAY_PARK,ICE_INDR,STAND_ICE,NHL_ICE,OLYMP_ICE,FIG_SKATING,CURL_RNK,CURL_SHEETS,INDR_SURFACE,INDR_TURF,DRY_PAD,RACQFAC_INDR,SQUASH_CRTS,RAQBALL_CRTS,BADMINT_CRTS,TENNIS_CRT,OUTDR_FIELD,ARTF_TURF_OUTDR,DIAM_FAC_OUTDR,TRACK_OUTDR,PUBLIC_GLF,SEMI_PRIV_GLF,HOLE_18,HOLE_9,DRIVERANG_OUTDR,DRIVERANG_INDR,SKI_NORDICTRCK,MUNICPAL_OP,NOTPROFIT_OP,PROFIT_OP,PRIVATE_OP
Westside Recreation Centre,Leisure Centre,,2000 69 ST SW,Westside Rec.,Not-for-Profit,Recreation,Westside Regional Recreation Society,Westside Recreation Centre,https://www.westsiderec.com/,403-531-5875,"Ice rink, waterslide, lazy river, tot pool, slide, climbing wall, fitness/weights, fitness studio, track, 2 gyms, hot tub, water slide, steam room, wave pool",3,N,Y,5,0,0,Y,N,1,0,0,4,N,Y,N,Y,N,N,N,0,1,N,Y,Y,N,Y,Y,N,N,Y,0,1,0,N,N,0,N,0,0,N,0,0,2,0,Y,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Variety Park Spray Park,Spray Park,,9035 24 ST SW,Parks,Municipal,Water Resources,Parks,Variety Park Spray Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/SW-parks/South-Glenmore-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,Y,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Prince's Island Lagoon,Outdoor Skating Rink,,25 PRINCE'S ISLAND PARK SW,Parks,Municipal,Parks,Parks,Prince's Island Lagoon,https://www.calgary.ca/CSPS/Parks/Pages/Locations/Downtown-parks/Princes-Island-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Shawnessy YMCA,Leisure Centre,,#400 333 SHAWVILLE BV SE,YMCA,Not-for-Profit,Parks,YMCA Calgary,Shawnessy YMCA,https://www.ymcacalgary.org/program-descriptions/locations/shawnessy/,403-256-5533,"Pool, teach pool, fitness/weights, gym, running track, fitness studio, multi-purpose room, climbing wall, hot tub, steam rooms",1,N,Y,1,1,0,Y,N,1,0,0,6,Y,N,N,N,N,N,N,0,0,N,Y,Y,N,Y,Y,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Fox Hollow Golf Course,Golf Course - Public,,999 32 AV NE,Private,Profit,Parks,Fox Hollow Golf Course,Fox Hollow Golf Course,https://www.foxhollowcalgary.com/,403-277-4653,"18 hole, indoor driving range",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,Y,N,Y,N,N,Y,N,N,Y,N,Y
Shouldice Aquatic Centre,Aquatic - Flat Water,1,5303 BOWNESS RD NW,Recreation,Municipal,Recreation,Recreation,Shouldice Aquatic Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Pools/Shouldice.aspx,311,"25m pool (6 lane), 1.5m slide, 1m & 3m dive, steam room",0,N,N,0,0,0,Y,N,1,0,0,6,N,N,N,N,Y,Y,N,1,0,N,Y,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Max Bell Centre,Arena,,1001 BARLOW TR SE,Recreation,Municipal,Recreation,Recreation,Ken Bracko Arena,https://www.calgary.ca/csps/recreation/arenas/ken-bracko-arena/facility-features---ken-bracko-arena.html,311,"1 ice rink (2121 seat cap), 3 meeting rooms",0,N,N,0,0,3,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,Y,N,N,Y,0,0,1,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Father David Bauer and Norma Bush Arenas,Arena,,2424 UNIVERSITY DR NW,Recreation,Municipal,Recreation,Recreation,Father David Bauer Arena,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Father-David-Bauer-and-Norma-Bush.aspx,311,"200'x100' ice rink (1750 seat cap), meeting room",0,N,N,0,0,1,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,0,0,1,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
N.E. Community Skatepark,Skate Park,,7556 FALCONRIDGE BV NE,Parks,Municipal,Recreation,Parks,N.E. Community Skatepark,https://www.calgary.ca/csps/recreation/skateparks.html,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Genesis Artificial Turf,Artificial Turf,,7556 FALCONRIDGE BV NE,Genesis,Not-for-Profit,Recreation,North East Centre of Community Society,Genesis Artificial Turf,https://genesis-centre.ca/sport_venue/,403-590-2833,artificial turf,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,1,N,N,N,N,N,N,N,N,N,N,Y,N,N
Maple Ridge Golf Course,Golf Course - Municipal,,1240 MAPLEGLADE DR SE,Recreation,Municipal,Recreation,Recreation,Maple Ridge Golf Course,https://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Maple-Ridge.aspx,403-300-1004,"18 hole, practice putting green",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N
Crowchild Twin Arenas,Arena,,185 SCENIC ACRES DR NW,CTAA,Not-for-Profit,Parks,Crowchild Twin Arena Assoc.,Crowchild Twin Arenas,http://www.crowchildtwinarena.net/,403-239-0171,"2 ice rinks, 2 meeting rooms",0,N,N,0,0,2,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,2,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
CKE Skatepark,Skate Park,,1015 73 AV SW,Parks,Municipal,Parks,Parks,CKE Skatepark,https://www.calgary.ca/csps/recreation/skateparks.html,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Calgary Canoe Club,Canoe & Rowing Club,,7550 CROWCHILD TR SW,SRG,Not-for-Profit,Parks,Calgary Canoe Club,Calgary Canoe Club,https://calgarycanoeclub.com/,403-246-5757,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Shouldice Athletic Park,Athletic Park,,1515 HOME RD NW,Recreation,Municipal,Recreation,Recreation,Shouldice Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Shouldice-Athletic-Park.aspx,311,"3 artificial turf fields, 4 soccer fields, 5 softball diamonds, 3 soccer/football fields, 1 baseball diamond, 4 softball fields w/ fence/lights",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,3,Y,N,N,N,N,N,N,N,N,Y,N,N,N
Great Plains Recreation Facility,Arena,,5749 76 AV SE,CFSDA,Not-for-Profit,Recreation,Canlan Ice Sports,Great Plains Recreation Facility,https://www.cfsda.ca/,403-476-5500,"2 ice surfaces, meeting room, dryland training space",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,2,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,N,N,N
Vecova Centre for Disability Services and Research,Leisure Centre,,3304 33 ST NW,Vecova,Not-for-Profit,RE&DS (CLA),Vecova Centre for Disability Services and Research,Vecova Centre for Disability Services and Research,https://vecova.ca/social-enterprise/recreation-centre/,403-284-2231,"Salt-water pool, gym, 3 studios, 3 multi-purpose rooms",1,N,N,3,3,0,Y,N,0,0,0,0,N,N,Y,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Foothills Aquatic Centre,Aquatic - Flat Water,1,2424 UNIVERSITY DR NW,Recreation,Municipal,Recreation,Recreation,Foothills Aquatic Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Pools/Foothills.aspx,311,"25m pool (6 lane), wading pool, dive pool w/ 1.5m slide",0,N,N,0,0,0,Y,N,1,0,0,6,N,N,N,Y,Y,N,N,1,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Prairie Winds Park,Outdoor Skating Rink,,223 CASTLERIDGE BV NE,Parks,Municipal,Parks,Parks,Prairie Winds Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/NE-parks/Prairie-Winds-Park.aspx,,Closed for renovations,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Acadia Athletic Park,Athletic Park,,295 90 AV SE,Recreation,Municipal,Recreation,Recreation,Acadia Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Acadia-Athletic-Park.aspx,311,"Sports field, two flag football fields",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Foothills Athletic Park,Athletic Park,,2424 UNIVERSITY DR NW,Recreation,Municipal,Recreation,Recreation,Foothills Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Foothills-Athletic-Park.aspx,311,"Little league diamond, 4 soccer fields, track, long jump, pole vault, discus, javelin, shot put, 8 tennis courts",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,8,Y,0,Y,Y,N,N,N,N,N,N,N,Y,N,N,N
Inglewood Aquatic Centre,Aquatic - Flat Water,1,1525 17 AV SE,Recreation,Municipal,Recreation,Recreation,Inglewood Aquatic Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Pools/Inglewood.aspx,311,"25m pool (6 lane),  aquatic climbing wall, 2m slide, rope swing",0,N,N,0,0,0,Y,N,1,0,0,6,N,N,N,N,N,N,N,0,1,Y,N,N,N,Y,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Shouldice Arena,Arena,,1515 HOME RD NW,Recreation,Municipal,Recreation,Recreation,Shouldice Arena,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Shouldice.aspx,311,185'x85' ice rink / dry pad (150 seat cap),0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Stew Hendry and Henry Viney Arenas,Arena,,810 13 AV NE,Recreation,Municipal,Recreation,Recreation,Stew Hendry Arena,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Stew-Hendry-and-Henry-Viney.aspx,311,185'x85' ice rink (400 seat cap),0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Rocky Ridge Skatepark,Skate Park,,11300 ROCKY RIDGE RD NW,Parks,Municipal,Recreation,Shane Homes YMCA at Rocky Ridge,Rocky Ridge Skatepark,,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Southwood Skatepark,Skate Park,,11 SACKVILLE DR SW,Parks,Municipal,Parks,Parks,Southwood Skatepark,https://www.calgary.ca/csps/recreation/skateparks.html,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Lakeview Golf Course,Golf Course - Municipal,,5840 19 ST SW,Recreation,Municipal,Recreation,Recreation,Lakeview Golf Course,https://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Lakeview.aspx,403-300-1003,"9 hole, practice putting green",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,Y,N,N,Y,N,N,N,Y,N,N,N
Village Square Leisure Centre,Leisure Centre - Municipal,,2623 56 ST NE,Recreation,Municipal,Recreation,Recreation,Village Square Leisure Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Leisure-centres/Village-Square.aspx,403-366-3900,"2 ice rinks, wave pool, slides, dive tank, hot tub, steam room, Splash Zone, gym, weight room, dance studio, fitness rooms",1,N,Y,2,0,2,Y,N,0,0,0,0,N,Y,N,N,Y,Y,N,0,3,Y,Y,Y,N,N,N,N,N,N,2,0,0,N,N,0,Y,0,2,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Renfrew Aquatic & Recreation Centre,Aquatic & Recreation Centre,2,810 13 AV NE,Recreation,Municipal,Recreation,Recreation,Renfrew Aquatic & Recreation Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Pools/Renfrew.aspx,311,"25m pool (6 lane), dive pool w/ 1m board, hot tub, steam room, fitness/weight",0,N,Y,0,0,0,Y,N,1,0,0,6,N,N,N,N,Y,Y,N,0,0,N,Y,Y,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Prairie Winds Park Wading Pool & Spray Park,Outdoor Wading Pool,,223 CASTLERIDGE BV NE,Parks,Municipal,Parks,Parks,Prairie Winds Park Wading Pool & Spray Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/NE-parks/Prairie-Winds-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,Y,Y,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Optimist and George Blundun Arenas,Arena,,5020 26 AV SW,Recreation,Municipal,Recreation,Recreation,Optimist Arena,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Optimist-and-George-Blundun.aspx,311,185'x85' ice rink (300 seat cap) meeting room,0,N,N,0,0,1,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
South Calgary Outdoor Pool,Outdoor Pool,,1626 32 AV SW,COSPA,Not-for-Profit,Recreation,COSPA,South Calgary Outdoor Pool,,403-245-0379,23m pool (6 lane),0,N,N,0,0,0,N,Y,1,0,0,6,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Deer Run Skatepark,Skate Park,,2223 146 AV SE,Parks,Municipal,Parks,Parks,Deer Run Skatepark,https://www.calgary.ca/csps/recreation/skateparks.html,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
The Winston Golf Club,Golf Course - Semi-Private,,2502 6 ST NE,Private,Profit,Parks,The Winston Golf Club,The Winston Golf Club,https://thewinstongolfclub.com/,403-984-1700,"18 hole, driving range",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y
East Calgary Twin Arenas,Arena,,299 ERIN WOODS DR SE,ECTAS,Not-for-Profit,Parks,East Calgary Twin Arena Society,East Calgary Twin Arenas,http://eastcalgary.ca/,403-273-8919,2 ice rinks,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,2,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Melcor YMCA at Crowfoot,Leisure Centre,,8100 JOHN LAURIE BV NW,YMCA,Not-for-Profit,Parks,YMCA Calgary,Melcor YMCA at Crowfoot,https://www.ymcacalgary.org/program-descriptions/locations/crowfoot/,403-547-6576,"25m pool, teach pool, fitness/weights, gym, fitness studio, multi-purpose rooms, steam rooms, hot tubs",1,N,Y,1,2,0,Y,N,1,0,0,6,Y,N,N,N,N,N,N,0,0,N,Y,Y,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Cardel Rec South,Arena,,#101 333 SHAWVILLE BV SE,SFCRA,Not-for-Profit,Parks,South Fish Creek Rec Association,Cardel Rec South,https://www.sfcra.com/,403-201-8652,"4 ice rinks, gymnasium, 3 multi-purpose meeting rooms, Shawnessy YMCA",1,N,N,0,3,3,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,0,4,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Somerset Spray Park,Spray Park,,999 SOMERSET DR SW,CA,Not-for-Profit,Parks,CA,Somerset Spray Park,https://somersetwaterpark.org/,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,Y,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,N,N,N
Glenmore Sailing School,Sailing School,,8003 14 ST SW,Recreation,Municipal,Water Resources,Recreation,Glenmore Sailing School,https://www.calgary.ca/CSPS/Recreation/Pages/Sailing-school/Glenmore-Sailing-School.aspx,311,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Lake Bonavista CA,Arena,,1401 ACADIA DR SE,CA,Not-for-Profit,Recreation,Lake Bonavista CA,Lake Bonavista CA,http://thelbca.ca/,403-271-7107,"2 ice rinks, gym, fitness studio, meeting rooms",1,N,N,1,0,2,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,2,0,0,Y,N,0,N,0,0,N,0,0,4,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Pop Davies Athletic Park,Athletic Park,,6415 OGDEN RD SE,Recreation,Municipal,Recreation,Recreation,Pop Davies Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Pop-Davies-Athletic-Park.aspx,311,"2 soccer fields, 5 softball diamonds",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,Y,N,N,N,N,N,N,N,N,Y,N,N,N
Mount Pleasant Outdoor Pool,Outdoor Pool,,630 22 AV NW,COSPA,Not-for-Profit,Parks,COSPA,Mount Pleasant Outdoor Pool,https://mpca.ca/outdoor-pool/,403-221-4288,Free form pool,0,N,N,0,0,0,N,Y,0,0,0,0,N,N,Y,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Rotary Challenger Park,Athletic Park,,3688 48 AV NE,CRCPS,Not-for-Profit,Calgary Rotary Challenger Park Society,Calgary Rotary Challenger Park Society,Rotary Challenger Park,https://www.challengerpark.com/,403-250-2707,"Soccer pitch, 2 softball diamonds, track, 2 tennis courts, basketball court, weights",0,N,Y,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,2,Y,0,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y
